,Country,e_type,Year,e_con,e_prod,GDP,Population,ei_capita,ei_gdp,CO2_emission
0,World,all,1988,345.56,347.41,42106.6,4927545.08,70.13,8.21,21163.84
1,World,coal,1988,96.87,98.48,42106.6,4927545.08,70.13,8.21,8930.92
2,World,nat_gas,1988,71.01,71.85,42106.6,4927545.08,70.13,8.21,3571.68
3,World,pet/oth,1988,133.45,132.49,42106.6,4927545.08,70.13,8.21,8661.24
4,World,nuclear,1988,19.23,19.23,42106.6,4927545.08,70.13,8.21,0
5,World,ren/oth,1988,24.93,25.36,42106.6,4927545.08,70.13,8.21,0
6,Afghanistan,all,1988,0.11,0.12,37.7,11618,9.57,2.95,3.65
7,Afghanistan,coal,1988,0,0,37.7,11618,9.57,2.95,0.32
8,Afghanistan,nat_gas,1988,0.07,0.11,37.7,11618,9.57,2.95,1.22
9,Afghanistan,pet/oth,1988,0.03,0,37.7,11618,9.57,2.95,2.1
10,Afghanistan,nuclear,1988,0,0,37.7,11618,9.57,2.95,0
11,Afghanistan,ren/oth,1988,0.01,0.01,37.7,11618,9.57,2.95,0
12,Albania,all,1988,0.17,0.19,15.69,3200.97,52.67,10.75,9.83
13,Albania,coal,1988,0.04,0.02,15.69,3200.97,52.67,10.75,3.64
14,Albania,nat_gas,1988,0.03,0.03,15.69,3200.97,52.67,10.75,0.89
15,Albania,pet/oth,1988,0.07,0.1,15.69,3200.97,52.67,10.75,5.3
16,Albania,nuclear,1988,0,0,15.69,3200.97,52.67,10.75,0
17,Albania,ren/oth,1988,0.04,0.04,15.69,3200.97,52.67,10.75,0
18,Algeria,all,1988,1.21,4.3,219.92,24443.5,49.63,5.52,64.34
19,Algeria,coal,1988,0.04,0,219.92,24443.5,49.63,5.52,3.27
20,Algeria,nat_gas,1988,0.84,1.93,219.92,24443.5,49.63,5.52,41.07
21,Algeria,pet/oth,1988,0.34,2.37,219.92,24443.5,49.63,5.52,20
22,Algeria,nuclear,1988,0,0,219.92,24443.5,49.63,5.52,0
23,Algeria,ren/oth,1988,0,0,219.92,24443.5,49.63,5.52,0
24,Angola,all,1988,0.08,0.99,64.77,11068,7,1.2,4.69
25,Angola,coal,1988,0,0,64.77,11068,7,1.2,0
26,Angola,nat_gas,1988,0.02,0.02,64.77,11068,7,1.2,0.89
27,Angola,pet/oth,1988,0.05,0.96,64.77,11068,7,1.2,3.8
28,Angola,nuclear,1988,0,0,64.77,11068,7,1.2,0
29,Angola,ren/oth,1988,0.01,0.01,64.77,11068,7,1.2,0
30,Antigua and Barbuda,all,1988,0.01,0,0.91,62.23,92.74,6.36,0.4
31,Antigua and Barbuda,coal,1988,0,0,0.91,62.23,92.74,6.36,0
32,Antigua and Barbuda,nat_gas,1988,0,0,0.91,62.23,92.74,6.36,0
33,Antigua and Barbuda,pet/oth,1988,0.01,0,0.91,62.23,92.74,6.36,0.4
34,Antigua and Barbuda,nuclear,1988,0,0,0.91,62.23,92.74,6.36,0
35,Antigua and Barbuda,ren/oth,1988,0,0,0.91,62.23,92.74,6.36,0
36,Argentina,all,1988,1.94,1.91,443.79,31728.1,61.22,4.38,105.51
37,Argentina,coal,1988,0.04,0.01,443.79,31728.1,61.22,4.38,3.58
38,Argentina,nat_gas,1988,0.73,0.65,443.79,31728.1,61.22,4.38,32.93
39,Argentina,pet/oth,1988,0.96,1.03,443.79,31728.1,61.22,4.38,69
40,Argentina,nuclear,1988,0.06,0.06,443.79,31728.1,61.22,4.38,0
41,Argentina,ren/oth,1988,0.16,0.15,443.79,31728.1,61.22,4.38,0
42,Aruba,all,1988,0.01,0,1.52,61.07,91.21,3.67,0.1
43,Aruba,coal,1988,0,0,1.52,61.07,91.21,3.67,0
44,Aruba,nat_gas,1988,0,0,1.52,61.07,91.21,3.67,0
45,Aruba,pet/oth,1988,0.01,0,1.52,61.07,91.21,3.67,0.1
46,Aruba,nuclear,1988,0,0,1.52,61.07,91.21,3.67,0
47,Aruba,ren/oth,1988,0,0,1.52,61.07,91.21,3.67,0
48,Australia,all,1988,3.6,5.85,484.46,16568.15,217.3,7.43,259.33
49,Australia,coal,1988,1.5,3.92,484.46,16568.15,217.3,7.43,140.75
50,Australia,nat_gas,1988,0.58,0.58,484.46,16568.15,217.3,7.43,29.44
51,Australia,pet/oth,1988,1.4,1.2,484.46,16568.15,217.3,7.43,89.15
52,Australia,nuclear,1988,0,0,484.46,16568.15,217.3,7.43,0
53,Australia,ren/oth,1988,0.12,0.15,484.46,16568.15,217.3,7.43,0
54,Austria,all,1988,1.11,0.5,247.84,7587.57,145.89,4.47,51.22
55,Austria,coal,1988,0.1,0.03,247.84,7587.57,145.89,4.47,12.49
56,Austria,nat_gas,1988,0.2,0.05,247.84,7587.57,145.89,4.47,10.88
57,Austria,pet/oth,1988,0.43,0.05,247.84,7587.57,145.89,4.47,27.86
58,Austria,nuclear,1988,0,0,247.84,7587.57,145.89,4.47,0
59,Austria,ren/oth,1988,0.39,0.37,247.84,7587.57,145.89,4.47,0
60,Bahrain,all,1988,0.23,0.3,17.31,439.09,521.42,13.23,14.75
61,Bahrain,coal,1988,0,0,17.31,439.09,521.42,13.23,0
62,Bahrain,nat_gas,1988,0.19,0.19,17.31,439.09,521.42,13.23,12.05
63,Bahrain,pet/oth,1988,0.04,0.11,17.31,439.09,521.42,13.23,2.7
64,Bahrain,nuclear,1988,0,0,17.31,439.09,521.42,13.23,0
65,Bahrain,ren/oth,1988,0,0,17.31,439.09,521.42,13.23,0
66,Bangladesh,all,1988,0.23,0.15,148.23,98186.4,2.3,1.52,11.77
67,Bangladesh,coal,1988,0,0,148.23,98186.4,2.3,1.52,0.13
68,Bangladesh,nat_gas,1988,0.14,0.14,148.23,98186.4,2.3,1.52,6.54
69,Bangladesh,pet/oth,1988,0.08,0,148.23,98186.4,2.3,1.52,5.1
70,Bangladesh,nuclear,1988,0,0,148.23,98186.4,2.3,1.52,0
71,Bangladesh,ren/oth,1988,0.01,0.01,148.23,98186.4,2.3,1.52,0
72,Barbados,all,1988,0.02,0,3.65,258.97,62.87,4.46,1.22
73,Barbados,coal,1988,0,0,3.65,258.97,62.87,4.46,0
